Study,AgeGroup,DisorderType,DisorderMeasurement,AchievementMeasurement,StudyDesign,StudyQuality,ad_n,ad_mean,ad_sd,co_n,co_mean,co_sd,ES,seES,lowerES,upperES,Pval,Weight,WeightPct
Andrews & Wilding (2004),Adults,Anxiety disorder,Cut-off,Administrative records,cohort,low,128,60.58,8.24,216,61.26,7.85,-0.08,0.11,-0.3,0.13,0.45,13.28,7.7
Awadalla et al. (2020),Adults,GAD,Cut-off,Self-report,cohort,low,43,2.43,0.7,91,2.62,0.76,-0.25,0.19,-0.62,0.11,0.17,10.27,6
Baptista et al. (2012),Adults,Phobias,Interview,Self-report,cross-sectional,low,237,7.04,1.05,2082,7.12,1.02,-0.08,0.07,-0.21,0.06,0.25,14.81,8.6
BlackDeer et al. (2023),Adults,Anxiety disorder,Other,Self-report,cross-sectional,low,2231,3.063,0.72,47273,3.173,0.696,-0.16,0.02,-0.2,-0.12,0,15.8,9.2
Bortes et al. (2022),Not reported,Anxiety disorder,Administrative,Administrative records,cohort,high,9072,-0.592,1.271,257592,0.135,0.877,-0.81,0.01,-0.83,-0.79,0,15.89,9.3
Cunningham et al. (2004),Children,SM,Interview,Standardised academic achievement test,cross-sectional,low,52,185.2,31.94761337,52,187.7,21.93855054,-0.09,0.2,-0.48,0.29,0.64,9.87,5.8
Dalsgaard et al. (2020),Not reported,Anxiety disorder,Administrative,Administrative records,cohort,high,7245,6.308121118,2.307856356,535255,6.768207854,2.297366961,-0.2,0.01,-0.22,-0.18,0,15.88,9.3
Davis et al. (2008),Children,Anxiety disorder,Interview,Standardised academic achievement test,cross-sectional,low,12,406.4,33.7352931,11,420.5,22.9786858,-0.47,0.42,-1.3,0.36,0.27,4.12,2.4
Eisenberg et al. (2009),Adults,Anxiety disorder,Cut-off,Administrative records,cohort,high,45,3.466667,0.7261355,825,3.515152,0.6348119,-0.08,0.15,-0.38,0.22,0.62,11.59,6.8
Evanger et al. (2024),Adolescents,GAD,Cut-off,Administrative records,cohort,high,288,45.7431,8.58449,749,46.9475,7.75977,-0.15,0.07,-0.29,-0.01,0.03,14.78,8.6
Gentes & Ruscio (2014),Adults,GAD,Interview,Administrative records,cross-sectional,low,25,3.34,0.48,83,3.52,0.359961205,-0.46,0.23,-0.91,-0.01,0.05,8.63,5
Hodges & Plow (1990),Children,Anxiety disorder,Interview,Standardised academic achievement test,cross-sectional,low,27,364.6,24.28023888,40,395.8,33.77721125,-1.02,0.27,-1.54,-0.5,0,7.52,4.4
Nowakowski et al. (2009),Children,SM,Other,Standardised academic achievement test,cross-sectional,low,19,311.26,28.4497065,22,326.77,23.38836035,-0.59,0.32,-1.22,0.04,0.07,6.04,3.5
Reinherz et al. (1993),Adolescents,Phobias,Interview,Administrative records,cross-sectional,low,73,2.43,0.75,313,2.57,0.81,-0.17,0.13,-0.43,0.08,0.18,12.54,7.3
Soohinda & Sampath (2016),Adolescents,Phobias,Interview,Self-report,cross-sectional,low,33,56.8,15.7,595,66.3,15.02,-0.63,0.18,-0.98,-0.28,0,10.51,6.1
